"cancer_type" "species" "correlation"
"all" "Acinonyx_jubatus" 0.217788923658832
"bladder" "Acinonyx_jubatus" 0.237622204923625
"breast" "Acinonyx_jubatus" 0.181153940048047
"central nervous system" "Acinonyx_jubatus" 0.19952726776068
"colon" "Acinonyx_jubatus" 0.238439458640765
"colorectal" "Acinonyx_jubatus" 0.238772551830433
"endometrial" "Acinonyx_jubatus" 0.159888703930872
"gastric" "Acinonyx_jubatus" 0.200572746271203
"glioma" "Acinonyx_jubatus" 0.226960216949248
"head and neck" "Acinonyx_jubatus" 0.225258861669046
"hepatocellular" "Acinonyx_jubatus" 0.223212489601918
"intestine" "Acinonyx_jubatus" 0.216435774852537
"kidney" "Acinonyx_jubatus" 0.353272352321929
"leukaemia" "Acinonyx_jubatus" 0.132988759681053
"liver" "Acinonyx_jubatus" 0.309098846912944
"lung" "Acinonyx_jubatus" 0.299989411521298
"lymphoma" "Acinonyx_jubatus" 0.199992381132194
"melanoma" "Acinonyx_jubatus" 0.268066620048488
"mesothelioma" "Acinonyx_jubatus" 0.339335388554762
"oesophagus" "Acinonyx_jubatus" 0.23649084197397
"other tumour types" "Acinonyx_jubatus" 0.272384846811221
"ovarian" "Acinonyx_jubatus" 0.227432462880939
"paediatric" "Acinonyx_jubatus" 0.267859548976146
"pancreas" "Acinonyx_jubatus" 0.130596765716288
"prostate" "Acinonyx_jubatus" 0.179500654363262
"rare other tumour types" "Acinonyx_jubatus" 0.122365333450592
"renal" "Acinonyx_jubatus" 0.184975497910532
"sarcoma" "Acinonyx_jubatus" 0.20094713985522
"skin" "Acinonyx_jubatus" 0.143888217395608
"small intestine" "Acinonyx_jubatus" 0.224756953489402
"soft tissue sarcoma" "Acinonyx_jubatus" 0.0826797992653389
"testicular" "Acinonyx_jubatus" 0.0473524044896007
"thyroid" "Acinonyx_jubatus" 0.238932877155184
"urothelial" "Acinonyx_jubatus" 0.249164506254779
"uterine" "Acinonyx_jubatus" 0.189242079410287
"all" "Acomys_cahirinus" 0.20146790970752
"bladder" "Acomys_cahirinus" 0.237968495502809
"breast" "Acomys_cahirinus" 0.173294519539068
"central nervous system" "Acomys_cahirinus" 0.184293821822776
"colon" "Acomys_cahirinus" 0.255628021487639
"colorectal" "Acomys_cahirinus" 0.203061731457365
"endometrial" "Acomys_cahirinus" 0.148763282898312
"gastric" "Acomys_cahirinus" 0.194939443863062
"glioma" "Acomys_cahirinus" 0.263143515001777
"head and neck" "Acomys_cahirinus" 0.182557987772742
"hepatocellular" "Acomys_cahirinus" 0.236291322199322
"intestine" "Acomys_cahirinus" 0.151622498058573
"kidney" "Acomys_cahirinus" 0.332888019790688
"leukaemia" "Acomys_cahirinus" 0.13166452057861
"liver" "Acomys_cahirinus" 0.250392619862911
"lung" "Acomys_cahirinus" 0.253516989392366
"lymphoma" "Acomys_cahirinus" 0.193291982911047
"melanoma" "Acomys_cahirinus" 0.244250162212578
"mesothelioma" "Acomys_cahirinus" 0.37512598354311
"oesophagus" "Acomys_cahirinus" 0.150830364479015
"other tumour types" "Acomys_cahirinus" 0.260033354268663
"ovarian" "Acomys_cahirinus" 0.222175593758919
"paediatric" "Acomys_cahirinus" 0.166956868473006
"pancreas" "Acomys_cahirinus" 0.166699678472435
"prostate" "Acomys_cahirinus" 0.144511743630366
"rare other tumour types" "Acomys_cahirinus" -0.040905150391932
"renal" "Acomys_cahirinus" 0.121871040765612
"sarcoma" "Acomys_cahirinus" 0.216371386091281
"skin" "Acomys_cahirinus" 0.163925886821343
"small intestine" "Acomys_cahirinus" 0.140010843738784
"soft tissue sarcoma" "Acomys_cahirinus" 0.227102229556992
"testicular" "Acomys_cahirinus" -0.0565493379375694
"thyroid" "Acomys_cahirinus" 0.220008890544111
"urothelial" "Acomys_cahirinus" 0.282706758031462
"uterine" "Acomys_cahirinus" 0.155280799676026
"all" "Ailuropoda_melanoleuca" 0.213988575863494
"bladder" "Ailuropoda_melanoleuca" 0.238325345271593
"breast" "Ailuropoda_melanoleuca" 0.16337027277416
"central nervous system" "Ailuropoda_melanoleuca" 0.163356389316843
"colon" "Ailuropoda_melanoleuca" 0.25605234566457
"colorectal" "Ailuropoda_melanoleuca" 0.218164282489861
"endometrial" "Ailuropoda_melanoleuca" 0.158946390567611
"gastric" "Ailuropoda_melanoleuca" 0.186978834787741
"glioma" "Ailuropoda_melanoleuca" 0.238217339644581
"head and neck" "Ailuropoda_melanoleuca" 0.217497241248721
"hepatocellular" "Ailuropoda_melanoleuca" 0.213078471136407
"intestine" "Ailuropoda_melanoleuca" 0.188627839488675
"kidney" "Ailuropoda_melanoleuca" 0.330771247376613
